key,Single thread time,Parallel row time,Speedup,Tiled rows time (size=32),Speedup (tiled)
"matrices/32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group-32,3",3.782208233,3.129537386,1.2085518613452986,1.436245319,2.633399867672606
"matrices/32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",24.549494136,59.814571239,0.41042665068864287,17.928577196,1.3692940531542668
"matrices/32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group_32,3-row_rots_no_group-32,3",2.521023505,57.546749064,0.04380826972860397,21.317893707,0.11825856436145894
"matrices/32,4-col_rots_32,4-col_xforms-32,4",51.578752284,38.191123281,1.3505429495879822,15.075978586,3.4212540161006566
"matrices/32,4-col_rots_32,4-col_xforms_32,4-row_rots-32,4",18.662587925,101.122462672,0.18455432583296374,30.35633308,0.6147840016057697
"matrices/32,4-col_rots_32,4-col_xforms_32,4-row_rots_32,4-row_xforms-32,4",19.272299571,243.392021125,0.07918213375245457,90.174041835,0.21372336405042547
"matrices/32,4-col_rots_32,4-col_xforms_32,4-row_rots_32,4-row_xforms_32,4-col_rots-32,4",18.035998029,202.635963024,0.08900689571507026,75.381173927,0.23926395795409433
"matrices/32,4-col_rots_no_group_32,4-col_xforms_no_group-32,4",41.335471988,32.237610517,1.2822126492967705,12.820238251,3.2242358666599484
"matrices/32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group-32,4",17.445589592,88.237020832,0.19771281291574602,25.673953048,0.6795053944121399
"matrices/32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group_32,4-row_xforms_no_group-32,4",19.95515872,244.034501226,0.0817718749592688,89.016661583,0.22417329930300314
"matrices/32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group-32,4",19.072856406,205.262672417,0.09291926379703692,74.602432798,0.2556599790471085
"matrices/32,4-row_rots_32,4-row_xforms-32,4",7.401065481,6.662157833,1.1109111591952883,2.9262848139999997,2.5291678532423263
"matrices/32,4-row_rots_32,4-row_xforms_32,4-col_rots-32,4",19.029060062,15.27489299,1.2457737068572419,6.444584685,2.952720926499859
"matrices/32,4-row_rots_32,4-row_xforms_32,4-col_rots_32,4-col_xforms-32,4",74.029176394,300.627909889,0.2462485150541531,99.269357438,0.7457404611512259
"matrices/32,4-row_rots_32,4-row_xforms_32,4-col_rots_32,4-col_xforms_32,4-row_rots-32,4",15.408134552,195.645311781,0.07875544990951505,75.820077574,0.20321971494900862
"matrices/32,4-row_rots_no_group_32,4-row_xforms_no_group-32,4",6.865734124,6.185107873,1.1100427454096888,2.784542109,2.465660009884232
"matrices/32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group-32,4",18.966330879,15.046249249,1.2605354706762242,6.266142512,3.0267953278557673
"matrices/32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group_32,4-col_xforms_no_group-32,4",109.792073781,173.868488485,0.6314662003314764,53.088258253,2.0681046505193206
"matrices/32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group-32,4",15.600052766,190.72247242,0.08179451832842383,74.091852466,0.21055017855247585
"matrices/32-col_rots_32,2-col_xforms-32,2",0.81791648,2.871536172,0.2848358617159011,0.964040828,0.8484251457449683
"matrices/32-col_rots_32,2-col_xforms_32,2-row_rots-32,2",0.197767092,2.663954704,0.07423815866803117,0.994167391,0.1989273574956755
"matrices/32-col_rots_32,3-col_xforms-32,3",3.089619894,7.264399035,0.4253097715467113,2.244495289,1.3765321358177287
"matrices/32-col_rots_32,3-col_xforms_32,3-row_rots-32,3",0.848013667,6.096258105,0.13910396384045487,2.375101055,0.35704319410527147
"matrices/32-col_rots_32,4-col_xforms-32,4",7.594963263,12.28632241,0.6181640860098511,4.03523367,1.8821619475136864
"matrices/32-col_rots_32,4-col_xforms_32,4-row_rots-32,4",3.935736596,8.558468616,0.45986458239061206,3.910683928,1.006406211409883
"matrices/32-col_rots_32,5-col_xforms-32,5",19.653498387,20.701592655,0.9493713220298122,7.777287886,2.5270375322454663
"matrices/32-col_rots_32,5-col_xforms_32,5-row_rots-32,5",6.089222294,15.903181218,0.3828933475968896,6.993865756,0.8706518692864655
"matrices/32-col_rots_no_group_32,2-col_xforms_no_group-32,2",0.748445038,2.919595579,0.25635229871678056,0.933528244,0.8017379686264746
"matrices/32-col_rots_no_group_32,2-col_xforms_no_group_32,2-row_rots_no_group-32,2",0.191371797,2.529733963,0.07564898119684216,0.987988078,0.19369848813094687
"matrices/32-col_rots_no_group_32,3-col_xforms_no_group-32,3",2.86514556,7.145429883,0.4009759534295608,2.199181934,1.302823343400565
"matrices/32-col_rots_no_group_32,3-col_xforms_no_group_32,3-row_rots_no_group-32,3",0.814537149,6.066716583,0.13426326050609905,2.396595313,0.3398726287169368
"matrices/32-col_rots_no_group_32,4-col_xforms_no_group-32,4",7.151215222,12.121210582,0.5899753307330174,3.934827988,1.8174149527778545
"matrices/32-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group-32,4",3.85520546,9.005447502,0.42809704449932173,3.528892138,1.0924690552273264
"matrices/32-col_rots_no_group_32,5-col_xforms_no_group-32,5",17.827067998,19.00589043,0.9379759429666458,7.163988584,2.4884277506827472
"matrices/32-col_rots_no_group_32,5-col_xforms_no_group_32,5-row_rots_no_group-32,5",6.053254039,15.749042789,0.38435694918728175,6.969072418,0.8685881959506422
"matrices/32-col_rots_no_group_32,7-col_xforms_no_group-32,7",79.200684198,75.080391363,1.0548784144594976,30.244443096,2.6186854870035527
"matrices/32-col_rots_no_group_32,7-col_xforms_no_group_32,7-row_rots_no_group-32,7",31.94565289,37.41254855,0.8538753473933014,19.550896011,1.633973853271292
"matrices/32-cond_keep_32,3-col_rots-32,3",0.558022857,0.672466355,0.8298152804983083,0.340052245,1.6409915394030115
"matrices/32-cond_keep_32,3-col_rots_32,3-col_xforms-32,3",3.078208436,7.156876091,0.43010503421610796,2.221183689,1.385841455276417
"matrices/32-cond_keep_32,3-col_rots_no_group-32,3",0.558105087,0.660212097,0.8453421098099025,0.332906084,1.6764640654629792
"matrices/32-cond_keep_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",2.884432899,7.081887872,0.40729717147941874,2.204373087,1.3085048606384115
"matrices/32-cond_keep_no_consts_32,3-col_rots_no_group-32,3",0.556890752,0.639356832,0.8710171286634504,0.330463365,1.6851815086976434
"matrices/32-cond_keep_no_consts_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",2.866834098,7.0903638860000004,0.40432820431975214,2.208357204,1.2981749930705504
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}-4,4,3,3",2.5256918390000003,2.934755,0.8606142042521437,1.447000244,1.745467458953656
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}-4,4,3,3",7.446618408,6.496716437,1.1462126260567773,2.744070556,2.7137124414376754
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-rnc{main[0]out[0]second[2]}-4,4,3,3",3.435771885,5.590157712,0.6146109040223801,2.604082638,1.3193789762519816
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-rnc{main[0]out[0]second[2]}_4,4,3,3-2s-xfnc{main[0]out[0]second[2]}-4,4,3,3",3.56091751,5.928042167,0.6006903138818378,2.808317197,1.2679897818536914
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-rnc{main[0]out[0]second[2]}_4,4,3,3-2s-xfnc{main[0]out[0]second[2]}_4,4,3,3-2s-gnc{axis[3]dims[1|3]}-4,4,3,2",1.453383295,2.677287626,0.5428566138676054,1.163831153,1.2487922249319614
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-rnc{main[0]out[0]second[2]}_4,4,3,3-2s-xfnc{main[0]out[0]second[2]}_4,4,3,3-2s-g{axis[3]dims[1|3]}-4,4,3,2",1.529981043,2.491648682,0.6140436467038012,1.224904446,1.2490615476139761
"matrices/4,4-identity_4,4,3,3-2s-r{main[1]out[1]second[3]}-4,4,3,3",2.522746648,2.912603593,0.866148299089872,1.4481587519999999,1.742037359174832
"matrices/4,4-identity_4,4,3,3-2s-r{main[1]out[1]second[3]}_4,4,3,3-2s-xf{main[1]out[1]second[3]}-4,4,3,3",8.215827663,7.003449053,1.1731116483928252,2.910899909,2.8224356452786576
"matrices/4,4-identity_4,4,3,3-2s-r{main[1]out[1]second[3]}_4,4,3,3-2s-xf{main[1]out[1]second[3]}_4,4,3,3-2s-r{main[0]out[0]second[2]}-4,4,3,3",3.435224481,5.955618634,0.5768039715284429,2.6525952200000003,1.295042852787769
