key,Single_thread time,Parallel row time,Speedup
"matrices/32-cond_keep_32,3-col_rots_no_group-32,3",0.558105087,0.660212097,0.8453421098099025
"matrices/32-cond_keep_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",2.884432899,7.081887872,0.40729717147941874
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}-4,4,3,3",2.5256918390000003,2.934755,0.8606142042521437
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}-4,4,3,3",7.446618408,6.496716437,1.1462126260567773
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-rnc{main[0]out[0]second[2]}-4,4,3,3",3.435771885,5.590157712,0.6146109040223801
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-rnc{main[0]out[0]second[2]}_4,4,3,3-2s-xfnc{main[0]out[0]second[2]}-4,4,3,3",3.56091751,5.928042167,0.6006903138818378
"matrices/4,4-identity_4,4,3,3-2s-rnc{main[1]out[1]second[3]}_4,4,3,3-2s-xfnc{main[1]out[1]second[3]}_4,4,3,3-2s-rnc{main[0]out[0]second[2]}_4,4,3,3-2s-xfnc{main[0]out[0]second[2]}_4,4,3,3-2s-g{axis[3]dims[1|3]}-4,4,3,2",1.529981043,2.491648682,0.6140436467038012
"matrices/8-reshape_2,4-transpose-4,2",6.6381e-05,0.000481484,0.13786750961610356
"matrices/8-reshape_2,4-transpose_4,2-cond_keep{restrict[1|1]}-4,2,4",0.000633514,0.001005309,0.6301684357744732
"matrices/8-reshape_2,4-transpose_4,2-cond_keep{restrict[1|1]}_4,2,4-broadcast{group[1]}-4,4",0.001876127,0.002451516,0.7652925781434835
"matrices/8-reshape_2,4-transpose_4,2-cond_keep{restrict[1|1]}_4,2,4-broadcast{group[1]}_4,4-rots_no_group{main[0]out[1]second[1]}-4,4",0.001283063,0.001833281,0.6998725236338565
"matrices/32,3-row_rots_32,3-row_xforms-32,3",1.903431809,1.7112607130000002,1.112297965201986
"matrices/32,3-row_rots_32,3-row_xforms_32,3-col_rots-32,3",3.754216036,3.245521145,1.1567375063273544
"matrices/32,3-row_rots_32,3-row_xforms_32,3-col_rots_32,3-col_xforms-32,3",26.652726972,60.568023715,0.4400461718449517
"matrices/32,3-row_rots_32,3-row_xforms_32,3-col_rots_32,3-col_xforms_32,3-row_rots-32,3",2.524443523,58.107024105,0.04344472224972843
"matrices/32,1-row_rots_32,1-col_rots-32,1",0.015398412,0.045018216,0.3420484721118225
"matrices/32,4-row_rots_32,4-row_xforms-32,4",7.401065481,6.662157833,1.1109111591952883
"matrices/32,4-row_rots_32,4-row_xforms_32,4-col_rots-32,4",19.029060062,15.27489299,1.2457737068572419
"matrices/32,4-row_rots_32,4-row_xforms_32,4-col_rots_32,4-col_xforms-32,4",74.029176394,300.627909889,0.2462485150541531
"matrices/32,4-row_rots_32,4-row_xforms_32,4-col_rots_32,4-col_xforms_32,4-row_rots-32,4",15.408134552,195.645311781,0.07875544990951505
"matrices/32-cond_keep_32,3-col_rots-32,3",0.558022857,0.672466355,0.8298152804983083
"matrices/32-cond_keep_32,3-col_rots_32,3-col_xforms-32,3",3.078208436,7.156876091,0.43010503421610796
"matrices/4,4-identity_4,4,3,3-2s-r{main[1]out[1]second[3]}-4,4,3,3",2.522746648,2.912603593,0.866148299089872
"matrices/4,4-identity_4,4,3,3-2s-r{main[1]out[1]second[3]}_4,4,3,3-2s-xf{main[1]out[1]second[3]}-4,4,3,3",8.215827663,7.003449053,1.1731116483928252
"matrices/4,4-identity_4,4,3,3-2s-r{main[1]out[1]second[3]}_4,4,3,3-2s-xf{main[1]out[1]second[3]}_4,4,3,3-2s-r{main[0]out[0]second[2]}-4,4,3,3",3.435224481,5.955618634,0.5768039715284429
"matrices/4,4-identity_4,4,3,3-2s-r{main[1]out[1]second[3]}_4,4,3,3-2s-xf{main[1]out[1]second[3]}_4,4,3,3-2s-r{main[0]out[0]second[2]}_4,4,3,3-2s-xf{main[0]out[0]second[2]}-4,4,3,3",3.447350541,5.811262936,0.5932188198961231
"matrices/4,4-identity_4,4,3,3-2s-r{main[1]out[1]second[3]}_4,4,3,3-2s-xf{main[1]out[1]second[3]}_4,4,3,3-2s-r{main[0]out[0]second[2]}_4,4,3,3-2s-xf{main[0]out[0]second[2]}_4,4,3,3-2s-g{axis[3]dims[1|3]}-4,4,3,2",1.457504124,2.6439479329999998,0.5512605243879438
"matrices/32,3-col_rots_32,3-col_xforms-32,3",13.686316493,10.574043858,1.2943313529615588
"matrices/32,3-col_rots_32,3-col_xforms_32,3-row_rots-32,3",2.859243564,34.211700186,0.08357502107334759
"matrices/32,3-col_rots_32,3-col_xforms_32,3-row_rots_32,3-row_xforms-32,3",2.964281718,67.164177251,0.04413486235262214
"matrices/32,3-col_rots_32,3-col_xforms_32,3-row_rots_32,3-row_xforms_32,3-col_rots-32,3",3.646366208,61.599666095,0.059194577489697996
